Price,KM,HP,MetColor,Automatic,CC,Doors,Weight,FuelType_Diesel,FuelType_Petrol
13500,0.193354705,0.170731707,1,0,1,3,0.268292683,1,0
13750,0.300149383,0.170731707,1,0,1,3,0.268292683,1,0
13950,0.171646797,0.170731707,1,0,1,3,0.268292683,1,0
14950,0.197527562,0.170731707,0,0,1,3,0.268292683,1,0
13750,0.158432751,0.170731707,0,0,1,3,0.276422764,1,0
12950,0.251025724,0.170731707,0,0,1,3,0.276422764,1,0
16900,0.261865275,0.264051396,1,0,1,3,0.398373984,1,0
18600,0.312297581,0.170731707,1,0,1,3,0.398373984,0,1
21500,0.081066177,1,0,0,0.714285714,3,0.300813008,0,1
12950,0.292746061,0.264051396,1,0,0.857142857,3,0.170731707,1,0
20950,0.129465553,1,0,0,0.714285714,3,0.300813008,0,1
19950,0.179461644,1,0,0,0.714285714,3,0.300813008,0,1
19600,0.13246145,1,0,0,0.714285714,3,0.300813008,0,1
21500,0.09464648,1,1,0,0.714285714,3,0.300813008,0,1
22500,0.140453253,1,1,0,0.714285714,3,0.300813008,0,1
22000,0.077111428,0.264051396,0,0,0.714285714,3,0.300813008,0,1
22750,0.139914156,1,1,0,0.714285714,3,0.300813008,0,1
17950,0.089362508,0.333333333,1,0,0.428571429,3,0.170731707,0,1
16750,0.105193849,0.333333333,0,0,0.428571429,3,0.105691057,0,1
16950,0.264848827,0.333333333,1,0,0.428571429,3,0.170731707,0,1
15950,0.278433245,0.333333333,1,0,0.428571429,3,0.170731707,0,1
16950,0.180675641,0.333333333,0,1,0.428571429,3,0.276422764,0,1
15950,0.231885728,0.333333333,1,0,0.428571429,3,0.195121951,0,1
16950,0.132589023,0.333333333,1,0,0.428571429,3,0.195121951,0,1
16250,0.106222659,0.333333333,1,0,0.428571429,3,0.195121951,0,1
15950,0.117074556,0.333333333,1,0,0.428571429,3,0.195121951,0,1
17495,0.142156964,0.333333333,1,0,0.428571429,3,0.195121951,0,1
15750,0.170428685,0.333333333,1,0,0.428571429,3,0.195121951,0,1
16950,0.181650953,0.333333333,0,0,0.428571429,3,0.195121951,0,1
17950,0.045633933,0.333333333,1,0,0.428571429,3,0.195121951,0,1
12950,0.040119507,0.227642276,1,0,0.142857143,3,0.162601626,0,1
15750,0.144848333,0.227642276,1,0,0.142857143,3,0.162601626,0,1
15950,0.121436714,0.227642276,1,0,0.142857143,3,0.162601626,0,1
14950,0.134531418,0.227642276,1,0,0.142857143,3,0.162601626,0,1
15500,0.168720859,0.227642276,1,0,0.142857143,3,0.162601626,0,1
15750,0.176951345,0.227642276,0,0,0.142857143,3,0.162601626,0,1
15950,0.102876967,0.227642276,0,0,0.142857143,3,0.162601626,0,1
14950,0.041148317,0.227642276,1,0,0.142857143,3,0.162601626,0,1
15750,0.104230882,0.227642276,1,0,0.142857143,3,0.162601626,0,1
14750,0.113165075,0.227642276,0,0,0.142857143,3,0.162601626,0,1
13950,0.201885604,0.227642276,0,0,0.142857143,3,0.162601626,0,1
16750,0.181346425,0.227642276,1,0,0.142857143,3,0.162601626,0,1
13950,0.193251824,0.227642276,0,0,0.142857143,3,0.162601626,0,1
16950,0.454335203,0.170731707,1,0,1,5,0.414634146,1,0
16950,0.412549023,0.170731707,0,0,1,5,0.414634146,0,1
19000,0.34567632,0.170731707,1,0,1,5,0.43902439,1,0
17950,0.32664332,0.170731707,1,0,1,5,0.414634146,1,0
15800,0.308836662,0.227642276,1,0,0.142857143,5,0.178861789,0,1
17950,0.297178178,0.170731707,1,0,1,5,0.414634146,1,0
21950,0.267412623,1,1,0,0.714285714,5,0.317073171,0,1
17950,0.257758262,0.170731707,1,0,1,5,0.414634146,1,0
15750,0.234918662,0.227642276,1,0,0.142857143,5,0.178861789,0,1
20500,0.230449508,0.333333333,1,1,0.428571429,5,0.292682927,0,1
21950,0.205206606,1,1,0,0.714285714,5,0.317073171,0,1
15500,0.20231359,0.333333333,0,1,0.428571429,5,0.268292683,0,1
13250,0.188165383,0.333333333,1,0,0.428571429,5,0.12195122,0,1
15250,0.177815547,0.227642276,0,0,0.142857143,5,0.178861789,0,1
15250,0.176951345,0.227642276,0,0,0.142857143,5,0.178861789,0,1
18950,0.163387504,0.333333333,1,1,0.428571429,5,0.292682927,0,1
15999,0.16028461,0.333333333,1,0,0.428571429,5,0.211382114,0,1
14950,0.153905983,0.227642276,1,0,0.142857143,5,0.178861789,0,1
